,Instructor,Instructor Overall - Mean,Enrolment,Response,Response Rate,Course Code
63,"LAFON-VINAIS, Veronique J A",70.4925795053,458,283,0.617903930131,"FINA5380,FINA2303,GBUS3040,FINA1303"
64,"PUIG GARRIGO, CORAL",69.3454545455,127,88,0.692913385827,MARK2120
65,"LI, Gerry K H",68.9897810219,209,137,0.655502392344,ACCT2010
66,"SALVACRUZ, Joseph",68.3223255814,419,215,0.513126491647,"MARK3420,MARK2120,MARK5120"
67,"LAU, Ronald Siu Man",67.4008333333,234,120,0.512820512821,"ISOM2700,ISOM5720"
68,"DING, Fei",66.8135888502,452,287,0.634955752212,"ECON2123,ECON6100S,ECON2113"
69,"LEE, Dongwon",66.4666666667,164,84,0.512195121951,ISOM2010
70,"HUANG, SETH H",64.1,57,31,0.543859649123,FINA5210
71,"KAWAGUCHI, Kohei",62.6820895522,94,67,0.712765957447,"ISOM2500,ECON5210"
72,"JIA, Jia",57.1090909091,111,66,0.594594594595,"ISOM5290,ISOM3370"
73,HUNG Mingyi,52.9539473684,115,76,0.660869565217,ACCT5100
