line,text
16,"But, sometimes she did talk boringly during demonstration making us fell alseep...The content is interesting, and very practical. This course is very different from other uni courses as there is nothing to memorise or recite. The class is similar to the art classes we had in high school.The instructor is very friendly and kind. She will be very willing to help if you are facing difficultiesThe Instructor introduces a good range of different styles of dance and questions that different boundaries of dance itself. The content is well researched, though the instructor is heavily influenced by American Works. It provides, what I feel is a good introduction to Contemporary dance."
17,"The Practical part of the lesson was more engaging. The instructor introduced motions of different levels of difficulty. There is also a lot of emphasis on strengthening the core and thigh muscles.The instructor is passionate and loves the art form. He has good knowledge and has researched adequately about Contemporary dance. He is aware that there are non-dancers who take the course and makes sure that he introduces a wide range of motions and exercises to strengthen core.Content is interesting because they teach you about creativity, but there was no indication that the only ""art"" portion we'd learn about was film.I thought it'd be more interactive since it is an art class but the title is misleading because it seems to be lots of powerpoint lectures and lab book work on your own time. The lecturers are dry. They try to get the small class to participate but the same people half-heartedly volunteer.The course is about training your brain to be more creative. It is actually quite interesting and fun. Marketing student might find it quite useful.The teachers were from poluU as I remember. It could be very boring when they were showing a lot of art work in the powerpoint. However, it was quite relaxing when it comes to group activities. you might have to share your thoughts to the whole class in nearly every lesson but it was very casual. The class size is very small so you can easily be friends with others normally."
18,p.s. quite a lot of foreigners and exchange students took this course at that timeNot as experimental as I would have liked.
19,"Each class starts with some blind drawing and continuous line drawing to warm-up. Then the drawings you work on will be whatever idea the instructor has for you to try. The whole idea is just to let you think/draw out of the box, nothing concrete is taught."
20,"I like experimenting in art on my own anyway so this course was slightly dull; I've seen the book the instructor was using for ideas in my local bookshop. If you've only been drawing specific things like realism or animes or just kind of unexperimental, then this course will be more challenging and different."
21,"For our semester we did greyscale pixel drawing, motion drawing, drawing a figure using shapes etc. The instructor is quite free though, not requiring us to follow the original idea exactly (that would kind of ruin the point).Your typical art teacher. She's very free and will tell you not to force yourself to do something. Will flexibly change the content and pacing according to the class."
22,"Best part of the teaching is that she still made me realise that there is more to explore, that I can push the boundaries more, but all that came from one-to-one talks and not the class. Did I mention the class was a bit dull for me?"
23,"So yeah, typical art teacher.mainly about the basic technique of Chinese painting"
24,the background and history of the Chinese painting somehow is also included
25,"the skills taught have color mix, how to draw and paint different flowers, how to draw a cockquite polite and friendly"
26,patient enough to provide adequate advice to let us know how to improve
27,"each time when we start a new topic, she would firstly demonstrate to show us the techniques and the things we need to pay attention"
28,overall is satisfactoryClass was quite small and the instructor was nice. I really enjoyed the course.
29,"Class was very relaxed without strict regulations. My class was at 9 am but most of the people came in 5~10mins late. There was one major artwork exhibition, and it was fun doing it.We don't actually get to learn anything (skills), but we got to try a new way of drawing such as drawing without looking, drawing with one single line ...etc and it was very interesting.the course covered around 160 years of fashion industry in 1 month, and it was expected that it was not going to be something in great detail, however, personally speaking, I think it is good enough for non-fashion background students to study the characteristic of each era and famous designers. Also, the course provided chances to practice sewing techniques .The lecture were mainly divided in to 2 parts, 40-45 mins theory session, and remaining 1.5 hours is for practical skill learning of how to sew. There was a TA and she gave me good and practical advice on techniques.Lectures are on Fashion History. Reading the textbook, which is available at the library provides just a little more detail than delivered in class. The lectures are not difficult or boring at all. There are only few points to remember for each era, such as silhouette, fabric choice, patterns, which comes easy if you're interested in vintage fashion and the current trend. However, I did came in the course expecting a bit more tailoring skills to be taught. We were taught to make simple projects like a skirt or a dress, but we were only taught techniques and not how to design and produce from scratch. I was quite disappointed there wasn't more time for learning how to draw a pattern, properties of different fabrics, or color theory.Silvio is a fun teacher and did a great job delivering his passion for fashion and experience in the industry. A seamstress was responsible for the practical exercises. She was experienced and patient.The course has two parts: dancing part and theory part"
30,"Tutor will base on your ability to arrange an array of routines, including the classical  Chinese dance and folk dance. As most of my classmates have learnt Chinese dance before, the difficulty and standard would then become higher which may become hard to some beginners."
31,"For theory part, students only need to jot down the notes and reflection in each lesson and submit a journal at the end of the course.Tutor is patient to teach each students and would give some advices. She aims to let students enjoy to experience the Chinese dance and thus focuses more on this part. She would briefly talk about the theory part at the end of each lesson in a relax way.One of the best course and surely the most interesting course I have taken in HKUST. Very different from any other course. Cover different singing techniques and body gestures, staging and performance. But the accapella part is removed due to limit of time. In the second half, requires much time to watch others' performance instead of individual teaching.The instructor can tackle each person's weak point and provide guidance on how to improve them. Very useful if you really want to improve singing in this course. Patrick is nice and makes you feel confident when performing.Teacher name: patrick. Good. The lesson atmosphere is good ad relaxing as the classmates are quite fun, a lot of jokes.Covered most of the European historic events from the 14th century to Europe today. Most of the contents are given in ppt slides, little notes needed to be jotted in lectures."
32,One summary sheet with key terms is provided in each lecture for easier understanding.
33,"But you still need a good level of English to cope with a large number of terms.Prof. is good. He is passionate in this subject. He explains the content well. So, attending lectures definitely helps your understanding. The only shortcoming is that you need time to familiarize with his accent. (He is an Italian with a Hong Kongese wife) Though, his speaking pace is quite slow (also a bit boring sometimes), you can follow the content most of the time.The content was very interesting, take the time to think about the areas he delves into and look and research into what it is like today.Excellent and interactive teaching, and Prof Wu didn't care your pronunciation of PTH. He was patient and kind to all of his students.The grading was straightforward, if you pay attention to his lectures it will be clear how to formulate your arguments to find success in this class.Not much workload, 1 mid term and 1 final essay, 1 project,1 small essay. Final essay's title choose your own title for your essay.Lectures cover different topics of Chinese and Western cultures and values."
34,"Contents are quite interesting and are useful for the essay. Many reading materials but not necessary to read it.Dr. Nam is nice and likes joking. He has arranged some optional lectures for students who want to know more and counsel for their essay. However I skipped many lessons and no more comment on teaching.The content is interesting. Many PRS but not count in grading. Teachers are very very very nice!!!Teachers are very very very nice! Dr. Nam will offer some optional cantonese and putonghua tutorials for students who do not understand the content in lesson. Though the essay topics are quite difficult, Dr. Nam is so generous that he is always willing to give us directions and ideas.Lecture contents cover different topics and not badly design - from morality to destiny. Contents are interesting for people who love to think about these abstract stuffs. But sometimes topics are quite mixed together and hard to follow.Very bad english... Very hard to understand even when I am from Hong Kong too... I feel sorry for the internationals in the lecture hall cause I don't think they even get half of what the professor says in lecture... Professor always tries to be funny but failed... But he teaches very well out of lecture when he held extra tutorial sessions.Just follow the instruction of the course."
35,Learning concepts about the Chinese and Western philosophy.
36,Not hard for local/mainland student to understand.Prof. Nam is a really good professor.
37,"As a local student, it is easy to understand his jokes and slangs."
38,He is really responsible. He even arranged optional review classes in both Cantonese and Mandarin.
39,"Basically, attend these optional classes, you may catch up the content in the lectures.Lectures cover wide range of Chinese and Western culture and values including Utilitarianism, Kantianism, Mohism, Confucianism, Daoism, destiny and well-beings. Majority of the topics will be tested on quizzes and only one concept out of Utilitarianism, Kantianism, Mohism, Confucianism is required to appear in your essay and you can find some useful points on Dr Nam's recommended readings.Dr Nam managed to deliver his powerpoint slides with some real-life examples which helps me understand some difficult terms and theories. However, his English has a large room for improvement which you need extra attention on his class since some questions in the quiz will be disclosed on lectures. Dr Susanna Ho and Dr Nam both spent extra time for consultation on the 1000-word essay, which one should realize what they ask for and how one can improve from the draft essay. The teaching on lectures was a bit not understandable but both quizzes only test your memory of the exact wordings in the ppt. However, the teaching on the tutorial is essential for you to write the essay smoothly and attendance and some little practices on Canvas are required.This course is an introductory course for music composition, covers music from the Baroque period to the early 20th centry. You will learn different types of scales, technique to write polyphonic music, and the very important counterpoint."
40,This course is well structured. The progress of the course and the content of each lesson is clearly stated on a handout which will be given at the start of the semester.Professor Kaila is one of the best professors i have met in ust. He has showed great enthusiasm in teaching throughout the course. He will answer your questions seriously and help you in every possible way. He can also remember everyone's name in the class.
41,"During the lesson, he will always interact with you to ensure you understand what he just taught.basic music theory (less than Grade 8 level), including scales, chords, intervals, etc. Don't expect too much to learn if you have music background. On the contrary, you can learn a lot in a short period of time if you don't have any music background.The instructor is excellent in music but he is strict. You can hardly chat or make a noise in lessons, perhaps he is too sensitive to sound."
42,Tutorials are NOT helpful at all but attendance are required.The instructor teaches at a good pace that he gave some examples throughout his teaching. One lecture generally teaches one topic/ one complex subtopic.
43,"In tutorials, it is good that the TA sometimes urges some students to answer in order to know whether u understand. There are some harder listening exercise as the semester goes on. In the beginning, you may be required to distinguish major/ minor, duple/triple, but at the end you need to dictate a short melody played by TA (played by instructor in final exam). There are some exercises uploaded to canvas which is caring.Started with basic stuff of music theory to nearly grade 8 music theory level. Quite hard to catch up for ppl with no music background.Clear and organized. He is quite strict on attendence tho. Tutor is really nice!!Average grading, only that the mean is usually quite high (there are students who are really good....). Exam is really difficult for the listening part. You have differetiate 7th chords and do a melodic dictation.Quite heavy. Got hw every lesson, tutorial every week, concert review, composition exercise. Tutorial is quite useful but also demanding. A lot of ear training exercises.The content covered most of the ABRSM Grade 1-5  and few Grade 6-8 music theory."
44,"Mainly about pitches, key signatures, time signatures, scales, intervals, triads, seventh chords, modulation, cadences etc.The professor is passionate and use piano playing in assisting his teaching. He is very nice and willing to answer your questions after the lectures. He may use students' composition works to tell us what is good or bad."
45,"The tutorials are conducted by his TA, mainly focus on aural training (melodic dictation, rhythm dictation, distinguish the triads, chords and cadences) and point us the common mistakes in your homework. The training will help you to familiarize the exam aural part.Easy stuff, all about simple theories in ABRSM syllabus. You need to buy a book (either e-book or printed) for assignment. For course details, see attachment.Prof. Kaila:"
46,"I think Kaila is an excellent and experienced professor, with (comparatively) clearer English speaking, I can almost understand what he meant in lectures."
47,Some flaws. Kaila won't write down some key terms that are needed to understand.
48,He is very kind that likely to answer your question.
49,Galison Lau:
50,"In the tutorials, he explained many mistakes that found in our assignments, and try to illustrate to us what is the correct one."
51,"The main part of the tutorial is ear training. I think he did not show us the skills, only doing some exercises..."
52,"He is also likely to answer your question.Basic music theory, focusing on reading, writing and analytical listening."
53,Main focus:
54,"Writing skills: major and minor keys, intervals, chords, chord progressions and simple harmonic analysis"
55,Aural skills:
56,"recognizing chords and intervals, notating simple melodies and rhythms by ear, distinguishing major and minor, meters and textures"
57,The first half of the course (before midterm) is easier for those who have music theory grade 5.Average.
58,Using the textbook to assist your revision after lectures will be helpful in case you can't catch up with what the lecturer says.
59,"Tutorials are not too helpful though its aim is to train and consolidate your aural skills because not many practical and useful techniques are taught.People say that this course is dominated by people who have music background. I also have taken music theory exam level 5 in the past. I have knowledge of everything taught in the first half of the course. But the second half exceeds music theory exam level 5 and can become a bit difficult sometimes. Homework and exam are quite easy so losing 1 or 2 marks can really downgrade your course grade. But overall, for me, I feel the course curriculum is well designed for people who want to learn music and is very useful. You get to learn from scratch, learn music composition, and build up pretty good foundation.The lecturer is solemn for most of the times and do not allow people chat during the lecture. He will pick you to answer question if you do not pay attention. Also, attendance is taken for every lesson and tutorial. The tutor can remember everybody's face. It sounds pretty horrible but I found it not really harsh if you want to learn seriously.You know all content before midterm if you know grade 5 music theory. Content after midterm is a little bit difficult. They require you to be able to know the chord when the instructor plays it, and do melody dictation, though not difficult in fact.Nothing special. Not very interesting but not boring. Quite easy to understand if you have attended the lesson.Content is very simple. If you practice enough you can get good grade easily."
60,"Four lunch talks and two concerts are compulsory, but well... they are pretty lame, few good compositions.To be honest, I don't find the teaching helpful. But Prof is a fun guy. Use teoria, cuz music theory is about practicing :) There's raffling in class, so.. if you wish to use iprs set to take attendance, find someone to answer questions for you or you'll have one absence.The content covers from some basic concept such as note, rhythm, interval, scales, chords. And finally, help you to do some analysis on the composition then compose a short piece of a final project. All these seem easy to handle if you have a strong foundation of music theory."
61,"Some contents are more than so-called ""music theory"" but it is really cool to get access to basic composition skills and sight-singing."
62,"Tutorial will concentrate on listening practice since there's a 30 point listening test in the final exam.He's a graceful Finnish guy. I really like his improvised piano piece during the lecture. But it may be somewhat boring for those have a musical background.It is about basic western classical music theories, a bit harder than ABRSM Level 5 Theory Exam as identifying four sevenths cadences are required at final exam which is really difficult. Not recommend for those haven't taken any theory exams before if you hope for a good grade.The lecturer and tutor both teach well and they really can help you learn more and use the skills learnt in lectures and tutorials."
63,"Lecture is mostly about theories and tutorial is mostly about composition skills and identifying melodies and cadences.HUMA 2104 is an introduction to the basics of music theory, with an emphasis on"
64,"reading, writing, and analytical listening. Writing skills taught in the course include pitch"
65,"notation using treble and bass clefs, rhythmic notation, the construction of scales in major"
66,"and minor keys, intervals, chords, chord progressions, and simple harmonic analysis."
67,Aural skills taught in the class and practiced in tutorials include recognizing chords and
68,"intervals, notating simple melodies and rhythms by ear, and distinguishing between"
69,"tonalities (major and minor), meters (duple and triple), and textures (homophonic and"
70,"polyphonic). The course culminates in a final project of composing a simple tonal piece.Instructor is interesting, for both lectures and tutorials."
71,Can't be late for class. Attendance is taken through PRS at the beginning of class sharply.
72,"It is required to buy a textbook cause homework are attached at the back of the book. The book cost ~HKD$400. Be prepare for this when taking this course,The content is said to be intended for non-music background but obviously 99% have good music theory background. Student needed to buy a textbook which is either online with restricted time or buy a hard copy. Learning from note, pitch, scale, chords, inversions and cadences. Students with music background should feel very easy but non-music background students should feel depressed. A progress learning of how to compose a short melody will be taught.The textbook is good to read and easy to understand for even a new learner. But the instructor is too boring. Even all the lessons are compulsory but the lesson is not worthy to take. Do think twice if you wanna use a course and attendance to learn this.- Lecture materials are quite boring if you have any music theory background"
73,- Prof. tries to make jokes but...
74,"- Major/minor, chords, Rhythm, Listening..."
75,- Chord listening and melody dictation part may be hard even if you have music background.- Needa buy an expensive textbook (pdf format) and the license only last for one semester.
76,- Tutorials and Lectures (Both cant skip)
77,- Requires self-learning
78,- You must follow the 'rules' of the professor
79,"- PRS once the lecture begins, never delayBasic music theory"
80,The content will be easy if you have some knowledge in music.
81,"Even if you don't, the textbook is well-written and very easy to understand. The final exam and midterm are almost the same as the assignments in the textbook, which are easy after reading the textbook.Classes are boring in my opinion."
82,"The professor is very strict about attendances and participation. He only gives you 1 minute and 30 seconds for PRS from the time that class starts and after that you're counted as late. Although he dislikes students not focusing on class, he only mentions it and doesn't record it to grade students based on such attitude."
83,"In tutorials the instructor asks some questions and students need to listen and sing as a group to review the contents. Tutorials are basically review of the lectures, but attendance is crucial.The content is interesting for those who studied a bit of music before and wants to know more about how to compose a song. It is less useful in the first half of semester but easy to understand. It gets more useful but difficult in the second half of semester.Teaching in CYT, the instructor is nice but the way he taught is not really suitable for people with no music background. i.e. He usually demonstrates the rhythme and other tones on the piano and picks people to answer random questions. Even though the content before mid-term is easy, the melodies and content became harder to understand and hear after the mid-term.The content was all about basic Grade 5 music theory which I have learnt before, so the content was easy to me.The teaching was fun as the professor demonstrated examples by playing the piano and playing recordings to us quite often. The lessons were relaxing.I have attended all lectures and only skipped one tutorial. Most of my assignments are above average. My mid-term was 102/104. I got an A for this course at the end. It was quite easy to get an A if you are a music enthusiasts.The workload was quite heavy. There were one assignment each week. You also have to attend a compulsory concert, write a concert report and do a composition at the end of the semester.All the basic theories from music notation, scales, intervals, chords to harmonies are covered throughout this course."
84,Attendance is required for every lecture and tutorial class.
85,"This course is an advantage for those who have prior music theory knowledge and background. But it is challenging if you have no any music knowledge at all.Teaching is good, in a sense that Kaila will explain the concepts in a very detailed and clear way and make sure you understand them. He sometimes will make fun/jokes in class so as to grab your attention."
86,I don't have a hard time catching up with the class because I have studied some basic music theory before. But it is still fine for everyone if you review the concepts after the class.
87,Also you will have to pay close attention to the instructor because he speaks quite fast.
88,"Kaila is passionate talking and teaching students off the class. Overall his teaching is good.The content is all about basic music theory , such as key signature , chords and so on . So , the course is suitable for those who have already study music theory."
89,"attendance : every lecture and tutorial lessonsThe teaching of the instructor is quite interesting and clear . But for those people who have not studied any music theory beforehand , it would be relatively hard for them to understand what instructor taking about in the lesson . But if we are willing to spend more time to do revision at home , it would be fine .Content covers Theory exams Trinity grades 1 and 2. Basic music notation, Scales, Intervals, Rhythm, Mater, Harmony, Chords. Its not very hard for someone who has some prior knowledge. Course can be challenging if you have no idea about these terms whatsoever.Teaching is pretty good. Very thorough will the material and super knowledgeable. Attendance is graded and has a fair weightage to the course grade so missing lectures and tutorials will affect your grade for sure.A lot of my friends missed lectures every now and then, as did I. (Hint, for our sem, he usually takes attendance twice in a row, then goes easy on us for a while) And even when I went, I never really gave the course my attention (apologies again). The professor basically drones on in the background while students sit and type at their computers. But Zhang min still enthusiastically carries on without a care in the world, and he really seems to be quite passionate about the material. However, if you're more accustomed to skipping classes and cramming before tests, at least have a friend to fill in your attendance for you (which itself requires a certain level of skill, since the TA counts how many students are sitting in a row, and hands out attendance slips accordingly...but she could always make a mistake, you never know;) and read the required reading. At least the first quarter of it. That will basically serve as your surrogate tutor.The course content are quite interesting."
90,It give you some different aspect to look at language.
91,"To remind you, this course is definitely not about literature but the analysis of language. It never matter if you are not good at literature at all."
92,Some tips for you:
93,"Understanding the concept of conceptual metaphor and metonymy are very important for all of your analysis throughout this course.  Try to work on (or just take a look with) those provided exercises to strengthen your understanding!Professor will explain all lecture materials in a very very detailed way! (but actually, as the lecture materials are quite easy to understand, you can read them by your own. so I seldom pay attention during lectures:p)This course is mainly focus on analysis of language, but not about literature. So if you are not good at literature, this is not a problem."
94,"Content : Metaphor, metonymy"
95,"The content is quite interesting, talk about the metaphor  in daily life.Professor is full of passion, yet sometimes it is quite boring."
96,I always read the notes by myself.It is about chinese and english metaphor.
97,"i think the content is not much, repeat the similar topic."
98,"The content is very simple, what u need to do is just reading all the examples and do all the exercises.The prof is very cute, he teaches with lots of body language and trys to make some gag."
99,"He gives lots of example and exercises to illustrate one statement, but due to too many examples, sometimes I get bored and play with my phone.The course encompasses a wide range of diverse topics such as literary metaphors, metaphors in everyday language, and metonymy.The teacher is good and well-prepared. I tried to listen carefully for the first few classes and I found it really interesting. He uses a lot of examples and graphs to make it more vivid. The one that impresses me most is LOVE IS A CONTAINER. However, if you are really not interested in this topic, the class will be more than boring to you. I saw many students fall asleep in class actually.↙_↙Metaphors and metonymy! Analyze all kinds of metaphors. It sounds that every class it's about the same things and  theories so I felt bored. Dig into many commonly used phrases and sentences like ""falling in love"" and show that in this sentence, there's a metaphor which is LOVE IS A CONTAINER, to show that metaphors are commonly used as a conceptual tool to help people understand things.Vivid, always use actions or graphs to explain metaphors. Really excited every class and always laughing at his own jokes regardless of all the asleep students....The content is interesting. It may change your view towards the language you use everyday because after understanding the concepts you will discover that nearly every sentences we speak contains metaphors."
100,"It does not need good language skill, but having good English has a little bit advantage.The teaching is fine. But I dont really listen to the class because I was there only for attendance. I think I only attended less than half of the class."
101,"There are a lot of so-called required readings, though I only read one. These readings may not really help with your exams and your grade whatsoever.As suggested in the topic, it is about conceptual metaphors in both Chinese and English. Metonymy was also covered."
102,It is better for Chinese to take the course as many examples and exam questions were in Chinese. Most foreigners dropped the course after the first lesson.
103,"Do not expect it to be a language course. It is more like understanding the logic in the metaphors. So fluency in English or Chinese wouldn't help that much as long as you can read.The teaching pace is quite slow and the tone of the professor was really boring so I didn't pay much attention in class. I just went to class for attendance taking. But the professor taught the materials in great detail(according to my minimal attention paid), so it would help on some topics that are difficult to grasp."
104,The power point slides basically got everything needed. I just read through the slides before quiz and exam.This is the pre-reg course for GCS Year 1 student.
105,"This course is about the general history of China between the 1830s to 1940s, in terms of the social, political, economic and cultural perspective."
106,Week 1: Intro+China before Opium War
107,Week 2-3: opium war
108,Week 4-6: foreign invasion of China
109,Week 6-7: Reforms
110,"Week: 7-8: Revolution, Republic and warlords"
111,Week: 9-10: Rise of nationalism
112,Week 11-12: Fascist KMT versus righteous CCP
113,Week 13: Second Sino-Jap War
114,"The topic is for reference only as the schedule always lag behind and may not have time cover all the topics.For the lecture, there is no ppt provided but only lecture outline is given. You need to jot down what he is saying quickly as the content he has spoken is similar to the final exam question. The format of final exam is long essay questions."
115,There are four tutorial sessions and one question (similar to essay question) and the coverage of assigned reading will be provided to you in advance to think of. Each one  need to speak sth and discuss the question given. Every student will be appointed as a leader of discussion in at least one session of tutorial.This course is about modern Chinese history (1800s-1949).
116,"The professor covers some main historical events like the Opium war, the 1911 revolution as well as the living status of Chinese people in that period.Professor Ho's teaching style is no doubt unique: some may find it intriguing, while some others would easily fall asleep on his lecture. Unlike history teachers in high school who focus on memorizing historical events, he tends to teach us by giving statistics and some stories. This means that we would have to go through the textbook ourselves to have the basic concept and timeline of major events. But still, for those who are bored with high school history class and want to hear something different, Professor Ho's lecture might be a good choice.It's mandatory course for GCS students, and also a common core course, which covers modern Chinese history. However, if you are not interested or haven't learnt Chinese history before, I recommend you to take other courses instead. Also, if you are non-Chinese background student, you will easily get confused with all historical issues and other historical elements.To be honest, I cannot find any good parts of this professor. He sometimes speaks Cantonese in lecture that confuses non-canto speaking students, considering that it's common core course. He does not provide any PPT or notes that you might need to jot down or make voice records for all classes as you will miss out some important points that will appear on exam paper. I would say TAs were very helpful, and they were always willing to help students.Modern China period from Late Qing to Civil War. Readings are mediocre not too much workload. But make sure you are interested if you want to enjoy the readingsPoor teaching. Did not attend lessons after midterm. Useless. Lectures not useful to exam at all. Attendance not calculated.Quite good. I got A-, with all tutorials attended and actively participated, and 22/25 for midterm.Tutorials, midterm and final exam."
117,Tutorial - Not really satisfied with having tutorials out of class time. Required to study few texts beforehand and do in class discussion with peers regarding the text and guided discussion questions.
118,Midterm - 3 short questions and 1 essay question. Marked by TAs therefore quite lenient.
119,"Final - 5/6 short questions and 2 essay questions. Marked by professor. Did not receieve the grade for final essay but still fine if you studied the required readings well.This course covers from the decline of Qing dynasty to the establishment of Republic. There are lots of things to remember, but if you have general knowledge on world history, there shouldn't be lots of problem."
120,"I think if you don't like reading, you will have some hard time."
121,"Both mid-term and final are all essay-writing, which final took whole 3 hours of writing."
122,"There are tutorials you must attend every 2 weeks.Professor Ho speaks good English, but you really need to pay attention to understand what he is saying."
123,He does not covers all during his lecture. Reading will help you.the content around the chinese history from major event like opium war til the present modern chinaslightly boring
124,but the lecture do not need to take attendance
125,"do not have any IPRSjust fair grading, even the workload is not small"
126,"i dont really feel like it is a good grade courseneed to do one long essay around 2to3000 words in chinese or english which is optional, slightly hard for people who have never really come across with the chinese history subjects previously"
127,"only final exam and essayx1History of modern china (from 1830s, pre opium war to 1920s students' movements)"
128,Analysis from Prof. Ho is entirely different from the text required by Immanuel Hsu.Teaching of Prof. Ho is boring because of his flat voice. I don't know why he always blames others.
129,4 tutorial sessions conducted by TA are excellent. Concrete examples were given. Mr. Kent Yeung gave enough guidance for our term paper as well.The content itself is interesting once you get the flow.
130,It is important to follow up with assigned reading.Sometimes boring and sometimes fun.
131,"He does not use any ppt, and barely used LMES/Canvas, you only have your in-class notes and assigned reading to study with."
132,"Professor would explain events in detail, which helps to get the entire idea, so I suggest writing down somewhat detailed note.The content is very rich, with different areas of arts being taught. The details of statues, architectures were taught that has really widen my horizons.Prof. Fu has got great understanding and knowledge in arts. She is a nice person who is very helpful and patience to students. Her teaching is pretty good, yet you would have to pay great attention as she is quite soft-speaking.This course will cover Buddhist art, ceramics, pottery, and calligraphy etc., which provides sufficient knowledge as   a introductory level art course."
133,"Apart from taking regular classes, students would also need to attend collector talks and visit some off-campus Chinese art exhibitionsProfessor Fu is an extremely nice teacher (e.g. distributed snacks to students as she worried that some of them did not have breakfast ). She is definitely passionate in teaching as well as sharing the beautifulness of our world. She offers students the utmost freedom to explore and pursue their interest. For students who finish her course, she would continue sending the information of the latest Chinese art exhibitions.-This course is about the development of techniques n style of different art forms in China."
134,"-Topics include pottery, jade, architecture, Buddhist art, etc-Sweet n patient professor :)"
135,"-Extremely helpful TA > u can get loads of suggestions from him on the group project, including topic setting :)-Well, just do ur individual paper nicely, A range, haha"
136,"-Prof. do give high marks to most of the students, so, ya, the deviation bit narrow-individual paper:"
137,discuss an art work selected by urself (~1000 words)
138,-group presentation (3 ppl/ team):
139,20 minutes + 5 minutes Q&A session
140,real simple
141,"-final: 20 mc > recognize the artworks shown in lecture pptincluded fantastic and interesting content, I am pretty sure you will learn something from it.interactiveessay and group project were super easy to do. but you have to pay attention to the final exam (no midterm)."
142,"          individual essay (30%),                I got 29/30"
143,"          group project (30%) ,                   I got 29.5/30"
144,"          final exam (25%),                         I got 22.5/25"
145,         field trip and attendance(15%)       15/15
146,"in total was 96% but final grade was A only, i think I would have had A+ if I could get 2 more questions right in the final exam, thats why I suggest you guys pay more attention to final exam.super lighthave to memorize a lot of details, cover a lot of topics"
147,use cantonese to teach
148,"This course is designed to familiarize students with the major developments of Chinese philosophy in the traditional period. It will focus specifically on Confucianism, Mohism, Taoism, Legalism and Buddhism for the very reason that not only had these schools had exerted significant impacts on the formation of the Chinese mind in the past, but they will also continue to shape the Chinese outlook on life in the future.not very good ,really hard to understandingSudden quiz x4     30%"
